amount,hour,is_first_time,velocity,bin_count,amount_vs_avg,label
4839075,11,0,1,1,1.06,0
3082413,13,0,1,1,1.5,0
4386665,17,0,0,1,1.31,0
3446757,12,0,0,1,1.73,0
3152961,15,1,0,1,0.57,0
2459450,13,0,0,1,1.53,0
4473844,13,0,0,2,1.5,0
271223,12,1,0,1,1.07,0
3206632,13,1,0,1,1.46,0
2345225,21,1,0,1,0.59,0
12079249,2,1,6,8,5.41,1
3705279,13,0,0,2,1.56,0
607152,18,0,0,1,1.63,0
1027000,20,0,0,1,1.99,0
461605,0,1,7,9,6.62,1
4904891,8,0,0,1,1.61,0
1097179,22,0,0,1,0.69,0
3598081,14,0,0,1,1.57,0
4037177,14,1,0,1,1.69,0
34590318,2,0,6,10,5.35,1
917605,10,1,0,1,1.13,0
1444591,12,0,1,2,0.6,0
1197462,14,0,0,1,0.58,0
4601777,10,0,0,1,0.51,0
4381188,12,0,1,1,1.03,0
3033563,3,1,5,7,6.6,1
2985487,17,0,0,1,1.62,0
1161596,15,1,0,1,1.89,0
2051138,13,0,0,1,1.5,0
2256429,19,0,0,1,1.4,0
470675,19,0,1,1,1.09,0
19297664,2,1,4,6,3.52,1
4356002,19,0,0,1,0.84,0
2345324,11,0,1,1,1.06,0
20104292,5,1,7,8,3.71,1
2019758,8,0,0,2,1.81,0
2639941,13,1,0,1,1.3,0
1800533,20,1,0,1,1.38,0
2924808,8,1,0,1,1.92,0
12972058,1,1,7,10,4.46,1
2441109,15,0,0,1,0.93,0
1748122,15,0,0,1,1.73,0
2028995,22,1,0,1,1.91,0
869171,15,0,0,2,1.63,0
249834,17,0,0,1,1.21,0
2792902,11,0,0,1,0.58,0
43653430,1,1,5,8,7.21,1
1402372,1,1,6,5,5.38,1
1179092,22,0,0,1,0.83,0
2685615,14,0,0,2,1.66,0
1276889,16,0,0,1,0.62,0
2108156,22,1,1,1,1.83,0
4585847,21,0,1,1,1.9,0
4838362,22,0,0,1,1.01,0
1471745,16,0,0,1,1.48,0
2212814,12,1,0,2,1.67,0
1001934,13,1,0,1,1.87,0
4368306,22,1,0,1,0.56,0
1549574,21,1,1,1,0.86,0
3181722,17,1,0,1,1.08,0
4426222,12,0,0,1,1.58,0
3358150,10,1,0,1,1.61,0
4168355,9,0,1,1,0.62,0
13616733,5,1,4,4,4.84,1
4028672,16,0,0,2,0.79,0
904561,12,0,0,1,1.66,0
4690547,12,0,0,1,0.57,0
2267696,13,0,1,1,1.72,0
36322925,3,1,5,4,3.23,1
2490691,21,0,0,2,0.79,0
424172,18,0,0,1,0.87,0
47773440,1,0,4,6,7.19,1
3593123,11,0,0,1,0.8,0
